time_ms,th_qw,th_qx,th_qy,th_qz,th_ax_g,th_ay_g,th_az_g,th_gx_dps,th_gy_dps,th_gz_dps,sh_qw,sh_qx,sh_qy,sh_qz,sh_ax_g,sh_ay_g,sh_az_g,sh_gx_dps,sh_gy_dps,sh_gz_dps,knee_deg,force_raw,stance,stride_length_m,velocity_mps,cadence_spm,stance_time_s,swing_time_s
3347,0.999893,0.014584,-0.000790,0.000517,0.030518,0.364746,0.941650,3.038,0.366,0.321,0.999933,0.010787,0.004205,-0.000652,-0.173584,0.389893,0.957764,0.153,-1.260,-0.053,-0.977,7,1,0.000,0.000,0.0,0.000,0.000
8493,0.803981,0.590680,-0.034112,-0.059569,0.060059,0.364014,0.980225,2.130,2.954,-2.252,0.799455,0.563736,0.207356,-0.008777,-0.185791,0.413574,0.952148,11.191,0.641,-0.832,-3.105,16,1,0.000,0.000,0.0,0.000,0.000
8685,0.810704,0.581461,-0.033836,-0.059301,0.038086,0.353516,0.984375,2.931,0.534,0.443,0.808293,0.552507,0.203250,-0.009397,-0.187500,0.393555,0.961914,3.908,-1.962,-0.947,-2.497,9,1,0.000,0.000,0.0,0.000,0.000
9048,0.823959,0.562719,-0.033904,-0.057355,0.025146,0.330078,0.945557,1.443,0.641,1.962,0.825701,0.529716,0.193723,-0.009557,-0.170654,0.440918,0.932129,-1.885,-0.595,-0.771,-6.072,9,1,0.000,0.000,0.0,0.000,0.000
9249,0.832196,0.550386,-0.035161,-0.057347,0.031006,0.369385,0.950928,-2.069,-0.290,-0.282,0.835921,0.514875,0.189844,-0.009990,-0.176514,0.402832,0.958008,3.870,-0.702,0.885,-1.578,22,1,0.000,0.000,0.0,0.000,0.000
9422,0.842600,0.534453,-0.034230,-0.056685,0.024658,0.331299,0.945312,-4.130,0.534,0.618,0.837441,0.513937,0.185551,-0.011474,-0.168701,0.442383,0.932129,2.443,0.053,1.069,-6.075,10,1,0.000,0.000,0.0,0.000,0.000
9654,0.856471,0.511811,-0.034039,-0.057859,0.033447,0.329346,0.953857,-1.885,0.015,-0.870,0.843699,0.505719,0.179550,-0.013456,-0.172363,0.464600,0.937988,7.275,1.176,0.237,-7.301,1,1,0.000,0.000,0.0,0.000,0.000
9846,0.867208,0.493118,-0.031784,-0.061446,0.031738,0.283447,0.959473,-3.374,0.550,-1.107,0.845200,0.505407,0.173046,-0.015964,-0.168701,0.489258,0.912354,5.580,-0.687,1.137,-11.745,4,1,0.000,0.000,0.0,0.000,0.000
10027,0.873457,0.482011,-0.031943,-0.060978,0.021240,0.304443,0.956055,1.863,-0.603,0.466,0.853199,0.493110,0.168681,-0.021003,-0.115479,0.417969,0.903809,15.366,4.412,-18.847,-7.155,9,1,0.000,0.000,0.0,0.000,0.000
10208,0.877890,0.473824,-0.031826,-0.061534,0.021973,0.284668,0.975830,5.481,0.557,0.641,0.860092,0.482599,0.164335,-0.018305,-0.165039,0.497559,0.877686,-3.282,2.107,1.435,-13.286,4,1,0.000,0.000,0.0,0.000,0.000
10480,0.885512,0.459485,-0.032393,-0.060775,0.023682,0.308350,0.957275,3.855,-0.198,0.725,0.880053,0.449216,0.153752,-0.008509,-0.179932,0.460205,0.927734,-6.122,5.153,-0.466,-8.529,10,1,0.000,0.000,0.0,0.000,0.000
10683,0.891065,0.448712,-0.032259,-0.060161,0.026367,0.318115,0.953857,3.053,-0.351,-0.267,0.890737,0.430089,0.146885,-0.006048,-0.190430,0.444092,0.886230,1.053,6.420,6.397,-8.172,10,1,0.000,0.000,0.0,0.000,0.000
10856,0.895476,0.439913,-0.032877,-0.059318,0.026367,0.344727,0.951416,2.130,1.565,0.321,0.899624,0.411496,0.146097,-0.001791,-0.249023,0.631836,0.798096,-22.916,-3.015,5.634,-18.451,9,1,0.000,0.000,0.0,0.000,0.000
11037,0.900428,0.429810,-0.032297,-0.058733,0.029785,0.328125,0.955811,3.672,0.389,-0.069,0.904582,0.394426,0.161076,0.014620,-0.276123,0.455078,0.925049,-9.313,10.153,3.962,-7.248,9,1,0.000,0.000,0.0,0.000,0.000
11209,0.905534,0.418957,-0.031355,-0.059168,0.057373,0.351074,0.956543,1.595,0.725,-0.756,0.903467,0.400247,0.153076,0.010895,-0.660889,1.587891,0.639404,-56.023,-41.855,27.817,-47.912,0,1,0.000,0.000,0.0,0.000,0.000
11393,0.911322,0.406322,-0.031627,-0.058264,0.025635,0.350586,0.933838,0.641,-0.420,-0.046,0.908774,0.387459,0.153624,0.020111,-0.252441,0.517334,0.888916,-1.473,0.092,1.122,-9.621,8,1,0.000,0.000,0.0,0.000,0.000
11576,0.918071,0.390654,-0.030872,-0.059851,0.028809,0.334717,0.955566,0.206,-0.191,-0.252,0.912333,0.386426,0.135137,0.007801,-0.223389,0.516846,0.941650,-1.527,-8.328,-0.053,-9.457,10,1,0.000,0.000,0.0,0.000,0.000
11757,0.923688,0.377432,-0.030924,-0.058209,0.035400,0.335938,0.957031,2.366,0.992,1.084,0.928578,0.353314,0.113398,-0.007238,-0.158936,0.528809,0.900391,8.985,3.588,5.534,-11.084,8,1,0.000,0.000,0.0,0.000,0.000
12119,0.934768,0.349004,-0.027979,-0.060183,0.039795,0.352539,0.948242,2.221,4.046,-0.863,0.947729,0.292905,0.124215,0.024227,-0.318115,0.165283,0.831299,-21.832,-2.962,-33.275,9.149,1,1,0.000,0.000,0.0,0.000,0.000
12300,0.940402,0.333504,-0.027553,-0.060500,0.025879,0.335938,0.955566,-0.099,-0.015,0.038,0.951590,0.286653,0.108970,0.020779,-0.180176,0.495361,0.903320,10.435,-7.687,2.473,-9.370,8,1,0.000,0.000,0.0,0.000,0.000
12494,0.946387,0.316281,-0.027527,-0.059671,0.026367,0.338135,0.952637,1.718,-0.023,0.611,0.959540,0.265579,0.093272,0.007097,-0.163818,0.522705,0.906006,-0.298,-3.344,-5.519,-10.440,8,1,0.000,0.000,0.0,0.000,0.000
12676,0.951584,0.300319,-0.027508,-0.059491,0.019531,0.337646,0.954590,0.832,-0.198,0.473,0.964664,0.248190,0.087370,0.013868,-0.165771,0.498047,0.889648,-4.672,7.618,1.092,-9.762,0,1,0.000,0.000,0.0,0.000,0.000
12849,0.956409,0.284522,-0.027392,-0.059823,0.024170,0.332275,0.944336,0.588,-0.221,-0.168,0.961771,0.256479,0.095173,0.012492,-0.213623,0.512939,0.894531,11.046,-0.053,-3.878,-10.446,10,1,0.000,0.000,0.0,0.000,0.000
13022,0.961423,0.267291,-0.027269,-0.058973,0.038086,0.333496,0.955811,-0.214,-0.099,0.153,0.960190,0.263460,0.092826,0.002579,-0.200195,0.585449,0.880615,-0.076,-11.504,-1.450,-14.382,1,1,0.000,0.000,0.0,0.000,0.000
13206,0.966030,0.250639,-0.026489,-0.057133,0.025391,0.329102,0.963867,0.779,1.031,0.267,0.973996,0.208880,0.087551,-0.005927,-0.149902,0.463867,0.878906,-0.802,-4.809,0.122,-8.972,9,1,0.000,0.000,0.0,0.000,0.000
13394,0.970280,0.234061,-0.025639,-0.055819,0.025635,0.348877,0.957275,-0.076,-0.427,-0.916,0.982698,0.170796,0.071479,-0.004932,-0.158447,0.523193,0.927246,9.107,-3.145,-2.351,-9.409,10,1,0.000,0.000,0.0,0.000,0.000
13571,0.974072,0.217820,-0.026158,-0.055261,0.029297,0.348145,0.962158,-0.366,0.061,-0.702,0.996055,0.055384,0.066307,0.020272,-0.170898,0.437256,0.962402,29.458,-5.557,-4.214,-4.542,12,1,0.000,0.000,0.0,0.000,0.000
13764,0.978135,0.198828,-0.024611,-0.055808,0.027832,0.345703,0.952881,1.466,0.076,-0.267,0.983817,0.169552,0.057509,-0.007029,-0.133301,0.541504,0.901123,70.664,-8.573,-17.527,-11.062,5,1,0.000,0.000,0.0,0.000,0.000
14168,0.984549,0.163964,-0.024943,-0.056192,0.026855,0.332275,0.959473,1.092,-0.183,-0.328,0.974889,0.212538,0.066077,-0.007238,-0.143555,0.615479,0.861816,1.420,-0.603,-5.565,-16.432,9,1,0.000,0.000,0.0,0.000,0.000
14338,0.983752,0.168562,-0.024338,-0.056794,0.033203,0.341553,0.960693,0.267,-0.489,-0.649,0.972777,0.220647,0.070519,-0.006761,-0.124268,0.708496,0.810303,-7.832,1.740,-2.374,-21.593,5,1,0.000,0.000,0.0,0.000,0.000
14570,0.985254,0.159544,-0.022111,-0.057720,0.032227,0.313232,0.960205,0.748,0.115,0.534,0.962403,0.261915,0.070103,-0.016317,-0.156738,0.623047,0.860107,-1.038,0.679,0.557,-17.852,9,1,0.000,0.000,0.0,0.000,0.000
14774,0.983957,0.168489,-0.022528,-0.054154,0.031494,0.333496,0.962402,3.046,0.748,1.435,0.964096,0.256919,0.063964,0.020486,-0.117188,0.548096,0.843262,-10.763,-4.847,13.855,-13.910,8,1,0.000,0.000,0.0,0.000,0.000
14977,0.984062,0.168380,-0.024119,-0.051852,0.030518,0.344482,0.951660,2.496,0.267,0.458,0.967843,0.235698,0.082856,0.029345,-0.182129,0.674561,0.936279,-2.809,-8.351,1.573,-15.872,8,1,0.000,0.000,0.0,0.000,0.000
15150,0.983829,0.169695,-0.023625,-0.052204,0.031982,0.346680,0.953857,0.672,-0.214,-0.534,0.964057,0.249549,0.086932,0.027605,-0.141357,0.562256,0.892090,5.466,-1.527,-1.183,-12.248,10,1,0.000,0.000,0.0,0.000,0.000
15322,0.985218,0.161330,-0.023996,-0.052367,0.032715,0.319580,0.957520,1.450,-0.023,0.519,0.962949,0.255113,0.082615,0.028674,-0.193604,0.437988,0.903320,-25.359,5.359,-2.290,-7.410,16,1,0.000,0.000,0.0,0.000,0.000
15594,0.983231,0.173355,-0.023853,-0.051345,0.028809,0.342285,0.943604,0.687,0.641,-0.176,0.964904,0.246582,0.086373,0.026408,-0.163574,0.496582,0.895996,16.198,0.786,-1.824,-9.058,8,1,0.000,0.000,0.0,0.000,0.000
15765,0.985044,0.162966,-0.023025,-0.051000,0.031250,0.331543,0.948975,1.206,0.115,0.282,0.961091,0.261304,0.085255,0.027500,-0.156494,0.531494,0.890381,-0.511,-0.458,-0.176,-11.576,8,1,0.000,0.000,0.0,0.000,0.000
15937,0.984986,0.163568,-0.023232,-0.050080,0.029541,0.327393,0.952637,1.206,0.168,0.290,0.960641,0.262978,0.085270,0.027231,-0.152344,0.531982,0.885986,-0.115,-0.588,0.031,-12.016,4,1,0.000,0.000,0.0,0.000,0.000
16208,0.983314,0.174392,-0.012643,-0.050204,0.039307,0.341064,0.964111,2.641,0.473,-0.061,0.958495,0.270807,0.085051,0.026793,-0.172852,0.528809,0.886230,0.260,1.099,-0.649,-11.343,9,1,0.000,0.000,0.0,0.000,0.000
16380,0.984651,0.166005,-0.018428,-0.050650,0.018799,0.332031,0.955566,4.992,2.107,0.626,0.958147,0.272266,0.084391,0.026520,-0.151611,0.552734,0.877441,-0.511,-0.420,-0.511,-13.048,18,1,0.000,0.000,0.0,0.000,0.000
16552,0.981894,0.182958,-0.016354,-0.046284,-0.017822,0.375488,0.929443,9.115,7.344,0.160,0.961196,0.260151,0.088175,0.025482,-0.146729,0.505371,0.894531,1.122,0.939,0.397,-7.466,4,1,0.000,0.000,0.0,0.000,0.000
16823,0.984105,0.170863,-0.020836,-0.043687,-0.048340,0.377197,0.850586,-6.947,6.664,-0.038,0.954454,0.272855,0.118616,0.022325,-0.113525,0.587646,0.879639,16.351,10.832,-5.634,-9.830,9,1,0.000,0.000,0.0,0.000,0.000
17025,0.979391,0.195977,-0.017075,-0.045776,0.012939,0.479004,0.967041,1.443,0.847,-3.069,0.952545,0.283467,0.108115,0.024798,-0.198486,0.595215,0.859863,6.458,3.542,0.504,-8.341,11,1,0.000,0.000,0.0,0.000,0.000
