time_ms,th_qw,th_qx,th_qy,th_qz,th_ax_g,th_ay_g,th_az_g,th_gx_dps,th_gy_dps,th_gz_dps,sh_qw,sh_qx,sh_qy,sh_qz,sh_ax_g,sh_ay_g,sh_az_g,sh_gx_dps,sh_gy_dps,sh_gz_dps,knee_deg,force_raw,stance,stride_length_m,velocity_mps,cadence_spm,stance_time_s,swing_time_s
3748,0.996429,-0.065719,0.053007,-0.000237,-0.107422,-0.133301,0.993164,-0.038,0.076,-0.260,0.993102,0.083780,0.082026,-0.000567,-0.715820,0.696533,-0.084961,0.725,-0.550,0.099,-104.599,16,0,0.000,0.000,0.0,0.000,0.000
3758,0.996400,-0.065249,0.054125,-0.000185,-0.108154,-0.131348,0.993408,0.443,0.092,-0.489,0.992960,0.084649,0.082850,-0.000557,-0.712402,0.697021,-0.089111,0.603,-0.084,0.206,-104.817,17,0,0.000,0.000,0.0,0.000,0.000
3768,0.996414,-0.065865,0.053113,-0.000304,-0.106445,-0.132080,0.991211,0.412,-0.092,-0.183,0.992818,0.085527,0.083647,-0.000551,-0.716797,0.696289,-0.088379,0.740,-0.435,0.206,-104.824,4,0,0.000,0.000,0.0,0.000,0.000
3778,0.996503,-0.065389,0.052017,-0.000380,-0.103760,-0.131592,0.998291,0.466,0.061,-0.282,0.992675,0.086397,0.084448,-0.000534,-0.714355,0.692871,-0.089111,0.641,-0.374,0.321,-104.838,24,0,0.000,0.000,0.0,0.000,0.000
3788,0.996601,-0.064266,0.051536,-0.000378,-0.103760,-0.129395,0.998535,0.511,0.000,-0.237,0.992531,0.087258,0.085252,-0.000518,-0.714355,0.695557,-0.086670,0.534,-0.313,0.305,-104.486,16,0,0.000,0.000,0.0,0.000,0.000
3798,0.996700,-0.063195,0.050947,-0.000381,-0.101807,-0.126221,0.995361,0.588,0.069,-0.160,0.992392,0.088061,0.086044,-0.000455,-0.717285,0.692871,-0.081299,-0.130,-0.450,0.794,-103.919,17,0,0.000,0.000,0.0,0.000,0.000
3808,0.996605,-0.064016,0.051765,-0.000370,-0.110107,-0.135254,0.995117,0.405,0.053,0.061,0.992247,0.088887,0.086859,-0.000385,-0.712891,0.694824,-0.086670,0.084,-0.130,0.870,-104.850,28,0,0.000,0.000,0.0,0.000,0.000
3818,0.996539,-0.065160,0.051616,-0.000442,-0.103271,-0.134277,0.993896,0.412,-0.092,0.000,0.992104,0.089693,0.087660,-0.000339,-0.716309,0.694092,-0.093262,-0.084,-0.328,0.595,-105.347,31,0,0.000,0.000,0.0,0.000,0.000
3828,0.996451,-0.065708,0.052606,-0.000394,-0.105225,-0.131836,0.992920,0.679,-0.282,0.168,0.991962,0.090481,0.088460,-0.000324,-0.709229,0.690918,-0.079346,-0.282,-0.359,0.221,-104.114,35,0,0.000,0.000,0.0,0.000,0.000
3838,0.996358,-0.066694,0.053137,-0.000392,-0.107910,-0.136230,0.991211,0.481,-0.542,0.191,0.991815,0.091292,0.089268,-0.000287,-0.717285,0.690430,-0.091797,0.023,-0.275,0.511,-105.399,26,0,0.000,0.000,0.0,0.000,0.000
